Model,Fuel type ,Maximum power - Output - Horsepower ,Maximum torque ,Fuel Tank Capacity ,Curb Weight ,Top Speed ,Length ,Width ,Height ,Drive wheels - Traction - Drivetrain 
TESLA,,525 PS or 518 bhp or 386 kW,,,2175 kgOR4795 lbs,210 km/h or 131 Mph,503.7 cm or 198.31 inches,227.1 cmor 89.41 inches,162.6 cmor 64.02 inches,AWD
TESLA,,525 PS or 518 bhp or 386 kW,,,2391 kgOR5271 lbs,250 km/h or 155 Mph,503.7 cm or 198.31 inches,227.1 cmor 89.41 inches,162.6 cmor 64.02 inches,AWD
TESLA,,328 PS or 324 bhp or 241 kW,,,2175 kgOR4795 lbs,210 km/h or 131 Mph,503.7 cm or 198.31 inches,227.1 cmor 89.41 inches,162.6 cmor 64.02 inches,AWD
TESLA,,772 PS or 762 bhp or 568 kW,,,2441 kgOR5381 lbs,250 km/h or 155 Mph,503.7 cm or 198.31 inches,227.1 cmor 89.41 inches,162.6 cmor 64.02 inches,AWD
TESLA,,772 PS or 762 bhp or 568 kW,,,2441 kgOR5381 lbs,250 km/h or 155 Mph,503.7 cm or 198.31 inches,227.1 cmor 89.41 inches,162.6 cmor 64.02 inches,AWD
TESLA,,700 PS or 690 bhp or 515 kW,967 Nm or 713 lb.ft,,2238 kgOR4934 lbs,250 km/h or 155 Mph,497.9 cm or 196.02 inches,218.7 cmor 86.1 inches,144.5 cmor 56.89 inches,AWD
TESLA,,525 PS or 518 bhp or 386 kW,525 Nm or 387 lb.ft,,- kgOR- lbs,230 km/h or 143 Mph,497.9 cm or 196.02 inches,218.7 cmor 86.1 inches,144.5 cmor 56.89 inches,AWD
TESLA,,388 PS or 383 bhp or 285 kW,441 Nm or 325 lb.ft,,- kgOR- lbs,230 km/h or 143 Mph,497.9 cm or 196.02 inches,218.7 cmor 86.1 inches,144.5 cmor 56.89 inches,RWD
TESLA,,- PS or - bhp or - kW,,,1220 kgOR2690 lbs,209 km/h or 130 Mph,394.6 cm or 155.35 inches,172.2 cmor 67.8 inches,112.7 cmor 44.37 inches,RWD
