Model,Fuel type ,Drive wheels - Traction - Drivetrain ,Maximum power - Output - Horsepower ,Maximum torque ,Fuel Tank Capacity ,Curb Weight ,Top Speed ,Length ,Width ,Height 
AUDI,Diesel,AWD,322,479,19.3,4420,155,194.61,73.78,57.52
AUDI,Petrol,AWD,597,553,19.8,4420,155,197.32,75.24,55.87
AUDI,Petrol,AWD,249,272,17.2,3957,155,195.83,75.24,55.91
AUDI,Diesel,AWD,322,479,19.3,4409,155,195.83,75.24,55.91
AUDI,Diesel,AWD,316,479,19.3,4343,155,195.83,75.24,55.91
AUDI,Diesel,AWD,268,427,19.3,4200,155,195.83,75.24,55.91
AUDI,Diesel,AWD,215,295,19.3,4189,149,195.83,75.24,55.91
AUDI,Diesel,AWD,215,368,19.3,4189,150,195.83,75.24,55.91
AUDI,Diesel,AWD,316,479,19.3,4343,155,195.83,75.24,55.91
AUDI,Diesel,AWD,268,427,19.3,4200,155,195.83,75.24,55.91
AUDI,Petrol,AWD,335,331,16.9,3814,155,173.66,72.48,62.2
AUDI,Petrol,AWD,177,236,16.9,3560,135,172.76,72.09,62.6
AUDI,Petrol,AWD,217,258,16.9,3616,145,172.76,72.09,62.6
AUDI,Petrol,AWD,177,236,16.9,3560,135,172.76,72.09,62.6
AUDI,Petrol,AWD,217,258,16.9,3616,145,172.76,72.09,62.6
AUDI,Petrol,AWD,177,236,16.9,3560,135,172.76,72.09,62.6
AUDI,Petrol,AWD,177,236,16.9,3560,135,172.76,72.09,62.6
AUDI,Petrol,AWD,362,342,16.9,3814,168,173.66,72.48,62.2
AUDI,Diesel,AWD,175,280,16.9,3660,132,172.64,72.09,62.6
AUDI,Diesel,AWD,148,250,16.9,3627,127,172.76,72.09,62.6
AUDI,Diesel,AWD,148,250,16.9,3704,127,172.76,72.09,62.6
AUDI,Diesel,AWD,181,280,16.9,3704,136,172.76,72.09,62.6
AUDI,Diesel,AWD,181,280,16.9,3748,136,172.76,72.09,62.6
AUDI,Diesel,AWD,148,250,16.9,3627,127,172.76,72.09,62.6
AUDI,Diesel,AWD,181,280,16.9,3704,136,172.76,72.09,62.6
AUDI,Diesel,AWD,181,280,16.9,3748,136,172.76,72.09,62.6
AUDI,Diesel,AWD,148,250,16.9,3704,127,172.76,72.09,62.6
